@RELATION political_party

@ATTRIBUTE question1 {yes, no}
@ATTRIBUTE question2 {yes, no}
@ATTRIBUTE question3 {yes, no}
@ATTRIBUTE question4 {yes, no}
@ATTRIBUTE question5 {yes, no}
@ATTRIBUTE question6 {yes, no}
@ATTRIBUTE question7 {yes, no}
@ATTRIBUTE question8 {yes, no}
@ATTRIBUTE question9 {yes, no}
@ATTRIBUTE question10 {yes, no}
@ATTRIBUTE question11 {yes, no}
@ATTRIBUTE question12 {yes, no}
@ATTRIBUTE question13 {yes, no}
@ATTRIBUTE question14 {yes, no}
@ATTRIBUTE question15 {yes, no}
@ATTRIBUTE question16 {yes, no}
@ATTRIBUTE question17 {education, healthcare, environment, defense, free_speech}
@ATTRIBUTE question18 {none, first_trimester, second_trimester, third_trimester, banned}
@ATTRIBUTE question19 {none, some, moderate, strict}
@ATTRIBUTE question20 {high, medium, low}
@ATTRIBUTE question21 {privacy, security, equality, individual, freedom}
@ATTRIBUTE question22 {open_borders, amnesty, merit_based, family_based, closed_borders}
@ATTRIBUTE question23 {capitalism, socialism, communism, federal_authority, mixed}
@ATTRIBUTE politicalParty {Democrat, Republican, Libertarian, Socialist, Green}

@DATA
yes, yes, yes, yes, yes, yes, yes, yes, yes, no, yes, yes, yes, no, no, no, education, none, strict, low, equality, family_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, yes, yes, no, no, no, healthcare, none, strict, medium, privacy, family_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, no, no, no, education, first_trimester, strict, low, equality, amnesty, mixed, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, yes, yes, no, no, no, environment, none, strict, medium, privacy, merit_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, yes, no, yes, yes, yes, no, no, no, healthcare, first_trimester, strict, low, equality, open_borders, mixed, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, yes, yes, yes, yes, no, no, no, education, none, strict, medium, privacy, family_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, yes, yes, no, no, no, environment, first_trimester, strict, low, equality, amnesty, mixed, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, no, no, no, healthcare, none, strict, medium, privacy, merit_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, yes, yes, no, no, no, education, first_trimester, strict, low, equality, open_borders, mixed, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, yes, no, yes, yes, yes, no, no, no, environment, none, strict, medium, privacy, family_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, yes, yes, yes, yes, no, no, no, healthcare, first_trimester, strict, low, equality, amnesty, mixed, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, yes, yes, no, no, no, education, none, strict, medium, privacy, merit_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, yes, no, no, no, environment, first_trimester, strict, low, equality, open_borders, mixed, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, no, yes, yes, yes, no, no, no, healthcare, none, strict, medium, privacy, family_based, socialism, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, yes, no, yes, yes, yes, no, no, no, education, first_trimester, strict, low, equality, amnesty, mixed, Democrat
yes, yes, yes, yes, yes, yes, yes, yes, no, yes, yes, yes, yes, no, no, no, environment, none, strict, medium, privacy, merit_based, socialism, Democrat
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, first_trimester, some, high, security, closed_borders, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, first_trimester, some, high, security, closed_borders, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, some, high, security, closed_borders, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, some, high, security, closed_borders, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, some, medium, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, strict, low, security, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, some, medium, security, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, strict, low, security, open_borders, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, some, medium, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, strict, low, security, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, some, medium, security, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, strict, low, security, open_borders, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, some, medium, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, strict, low, security, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, some, medium, security, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, strict, low, security, open_borders, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, strict, medium, security, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, some, low, security, open_borders, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, strict, medium, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, some, low, security, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, strict, medium, security, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, some, low, security, open_borders, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, strict, medium, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, some, low, security, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, strict, medium, security, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, healthcare, none, some, low, security, open_borders, mixed, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, education, second_trimester, strict, medium, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, environment, first_trimester, some, low, security, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, education, third_trimester, some, high, individual, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, healthcare, second_trimester, some, medium, individual, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, environment, third_trimester, some, high, individual, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, education, second_trimester, some, medium, individual, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, healthcare, third_trimester, some, high, individual, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, environment, second_trimester, some, medium, individual, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, education, third_trimester, some, high, individual, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, healthcare, second_trimester, some, medium, individual, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, environment, third_trimester, some, high, individual, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, education, second_trimester, some, medium, individual, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, healthcare, third_trimester, some, high, individual, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, environment, second_trimester, some, medium, individual, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, education, third_trimester, some, high, individual, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, healthcare, second_trimester, some, medium, individual, family_based, mixed, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, low, freedom, amnesty, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, first_trimester, some, high, freedom, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, yes, no, no, no, yes, yes, yes, defense, none, some, medium, freedom, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, yes, defense, first_trimester, some, high, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, no, yes, yes, defense, first_trimester, none, high, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, no, yes, defense, first_trimester, some, high, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, no, defense, first_trimester, some, high, security, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, no, no, defense, first_trimester, none, high, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, no, yes, defense, first_trimester, some, high, security, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, no, yes, yes, healthcare, first_trimester, some, high, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, yes, defense, first_trimester, some, high, security, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, yes, defense, first_trimester, some, medium, security, merit_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, no, yes, yes, defense, first_trimester, some, high, security, family_based, capitalism, Republican
no, no, no, no, no, no, no, no, no, no, no, no, yes, yes, no, yes, defense, first_trimester, some, medium, security, merit_based, capitalism, Republican
